p,true_k,dataset_id,n,B,n_jobs,n_test_ks,model,t_carve_sec,t_carve_per_k_sec,t_external_sec
34,5,7,500,20,10,6,kmeans,10.117195792030543,1.686199298671757,0.8345979590667412
34,6,7,500,20,10,6,kmeans,10.005681583075784,1.6676135971792974,0.7750314159784466
34,3,8,500,20,10,6,kmeans,10.71658816607669,1.7860980276794483,0.8617489999160171
34,4,8,500,20,10,6,kmeans,10.428408333915286,1.7380680556525476,0.811494667083025
34,5,8,500,20,10,6,kmeans,10.203255959087983,1.7005426598479971,0.8357714170124382
34,6,8,500,20,10,6,kmeans,10.085761166992597,1.6809601944987662,0.7759433330502361
34,3,9,500,20,10,6,kmeans,10.61555320804473,1.769258868007455,0.833024499937892
34,4,9,500,20,10,6,kmeans,10.357653958024457,1.726275659670743,0.8408189580077305
34,5,9,500,20,10,6,kmeans,10.17104691604618,1.6951744860076967,0.777235500048846
34,6,9,500,20,10,6,kmeans,10.19859929208178,1.6997665486802969,0.789284750004299
34,3,10,500,20,10,6,kmeans,10.454478124971502,1.7424130208285835,0.8102444579126313
34,4,10,500,20,10,6,kmeans,10.30267329106573,1.7171122151776217,0.8066264159278944
34,5,10,500,20,10,6,kmeans,10.133277999935672,1.6888796666559454,0.826339083025232
34,6,10,500,20,10,6,kmeans,10.068361082929187,1.6780601804881978,0.7739249580772594
34,3,11,500,20,10,6,kmeans,10.659571540891193,1.7765952568151988,0.835268208058551
34,4,11,500,20,10,6,kmeans,10.662212916999124,1.7770354861665207,0.857377834036015
34,5,11,500,20,10,6,kmeans,10.385993666946888,1.730998944491148,0.8229829580523074
34,6,11,500,20,10,6,kmeans,10.091159375035204,1.6818598958392006,0.78562045795843
34,3,12,500,20,10,6,kmeans,10.65094379207585,1.7751572986793083,0.8297615840565413
34,4,12,500,20,10,6,kmeans,10.637750125024468,1.7729583541707445,0.8232794579816982
34,5,12,500,20,10,6,kmeans,10.373735958011821,1.7289559930019702,0.8111752500990406
34,6,12,500,20,10,6,kmeans,10.370396042009816,1.7283993403349693,0.7954293750226498
34,3,13,500,20,10,6,kmeans,10.721928082988597,1.786988013831433,0.8777352089527994
34,4,13,500,20,10,6,kmeans,10.564506415976211,1.7607510693293686,0.8204942090669647
34,5,13,500,20,10,6,kmeans,10.187131875078194,1.6978553125130322,0.8102730000391603
34,6,13,500,20,10,6,kmeans,10.103558999951929,1.683926499991988,0.8107627080753446
34,3,14,500,20,10,6,kmeans,10.773087957990356,1.7955146596650593,0.835867292014882
34,4,14,500,20,10,6,kmeans,10.500374541967176,1.750062423661196,0.7891937909880653
34,5,14,500,20,10,6,kmeans,10.38533641595859,1.7308894026597652,0.8050239169970155
34,6,14,500,20,10,6,kmeans,10.252301707980223,1.708716951330037,0.8290210829582065
