embed_dim,true_k,dataset_id,n,p,B,n_jobs,n_test_ks,model,t_carve_sec,t_carve_per_k_sec,t_external_sec
237,3,14,500,237,20,10,6,spectral,10.547770000062883,1.7579616666771472,1.4693483330775052
237,4,14,500,237,20,10,6,spectral,10.468017083010636,1.744669513835106,1.5965404999442399
237,5,14,500,237,20,10,6,spectral,10.919046416995116,1.819841069499186,1.5678602500120178
237,6,14,500,237,20,10,6,spectral,11.613604833954014,1.9356008056590024,1.673734875046648
237,3,15,500,237,20,10,6,spectral,11.248002458014525,1.8746670763357542,1.5200052500003949
237,4,15,500,237,20,10,6,spectral,10.426486250013113,1.7377477083355188,1.5453054580138996
237,5,15,500,237,20,10,6,spectral,11.096344041987322,1.8493906736645538,1.414933625026606
237,6,15,500,237,20,10,6,spectral,11.901266625034623,1.9835444375057705,1.7205357499187812
237,3,16,500,237,20,10,6,spectral,10.540474749985151,1.7567457916641918,1.5126207079738379
237,4,16,500,237,20,10,6,spectral,10.679935125051998,1.7799891875086662,1.4504555420717224
237,5,16,500,237,20,10,6,spectral,11.315819666953757,1.8859699444922928,1.5817970420466736
237,6,16,500,237,20,10,6,spectral,11.249166083987802,1.8748610139979671,1.6008159999037161
237,3,17,500,237,20,10,6,spectral,10.529163042083383,1.7548605070138972,1.3430983748985454
237,4,17,500,237,20,10,6,spectral,10.702902917051688,1.783817152841948,1.4375788749894127
237,5,17,500,237,20,10,6,spectral,11.18961779109668,1.8649362985161133,1.5463768339250237
237,6,17,500,237,20,10,6,spectral,11.210399208939634,1.8683998681566056,1.658353458973579
237,3,18,500,237,20,10,6,spectral,11.4486398329027,1.9081066388171166,1.41793095797766
237,4,18,500,237,20,10,6,spectral,10.636228542076424,1.7727047570127372,1.439948417013511
237,5,18,500,237,20,10,6,spectral,10.960749999969266,1.8267916666615445,1.4364652909571305
237,6,18,500,237,20,10,6,spectral,11.364644124987535,1.8941073541645892,1.6385045829229057
237,3,19,500,237,20,10,6,spectral,10.523312750039622,1.753885458339937,1.3764700839528814
237,4,19,500,237,20,10,6,spectral,10.598203249974176,1.7663672083290294,1.4639701249543577
237,5,19,500,237,20,10,6,spectral,11.024348416016437,1.8373914026694063,1.4426654999842867
